a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
4,2,2,1.004824,-0.075999998,-1.12011,2,243.243,1
6,5,9,0.81926286,3.007,-4.20435,3,398.45898,1
7,5,12,0.85818475,2.385,-4.0605502,3,488.47699,1
5,3,11,0.80637032,2.415,-4.0703702,3,422.48099,1
6,5,8,0.81926286,2.7950001,-3.6563799,3,396.44299,1
6,6,5,1.007431,-1.15,0.14673001,1,265.202,1
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,1
6,5,9,0.89239413,2.902,-4.3132601,3,438.569,1
7,6,13,0.82488954,1.8559999,-2.2959299,2,405.495,1
6,4,15,0.85614389,3.576,-5.0222602,3,523.71899,1
7,6,13,0.87655663,2.971,-4.2827201,3,495.66501,1
6,5,9,0.84590477,1.666,-2.3699701,1,314.38199,1
4,2,6,0.85151011,3.0050001,-3.86306,3,347.435,1
3,2,4,0.864259,1.709,-2.7328401,2,265.33301,1
3,2,4,0.864259,1.709,-2.7328401,2,265.33301,1
6,5,8,0.85613614,2.6849999,-4.44098,3,414.48199,1
3,2,3,0.90269798,0.889,-1.44587,1,200.258,1
6,4,3,1.0033997,-1.132,-0.42199001,2,255.18599,1
6,5,9,0.82652491,2.194,-2.6536801,2,362.42599,1
7,6,11,1.0678742,1.97,-3.3669701,2,517.32001,1
4,3,5,0.93511403,1.6569999,-2.9507401,2,313.39801,1
3,2,4,0.928195,0.31099999,-1.07572,1,203.26199,1
3,2,3,0.89595979,1.263,-1.70443,2,243.327,1
4,2,4,0.94659501,0.178,-1.34495,1,231.272,1
4,2,4,0.94659501,0.178,-1.34495,1,231.272,1
10,10,12,0.92433774,0.12,-2.70239,3,543.51001,1
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,1
6,5,4,0.93510145,-0.15899999,-0.55487001,2,267.237,1
5,4,11,0.81432098,2.273,-4.4749599,3,437.496,1
5,4,9,0.91182971,2.2249999,-4.1595898,3,443.52499,1
6,5,8,0.82652491,2.2290001,-2.52824,2,362.42599,1
4,3,6,0.87918264,1.294,-2.71943,2,328.43298,1
3,2,3,0.91557628,0.82099998,-1.50266,2,229.3,1
4,2,2,0.95703042,0.54400003,-1.47939,2,258.298,1
4,2,2,0.95703042,-0.37400001,-1.1595401,2,258.298,1
7,6,13,0.82176769,2.823,-4.2669401,3,481.54898,1
8,7,18,0.849356,-0.43099999,-3.5813999,3,572.66296,1
9,8,13,0.87456042,0.71799999,-2.5807199,3,504.53998,1
7,6,10,0.86872083,0.384,-2.2358,2,377.397,1
7,6,7,0.88859165,-0.26899999,-0.61465001,2,313.354,1
10,9,18,0.84981549,1.842,-4.5826602,4,651.71698,1
12,9,17,0.90304625,-1.274,-1.73444,3,596.638,1
7,5,8,0.8846727,-0.428,-0.92164999,2,355.39099,1
7,6,12,0.82783884,2.381,-4.0651698,3,467.522,1
4,3,7,0.83018678,3.3959999,-5.1800699,3,412.50998,1
7,5,9,0.85229218,1.234,-2.6821899,3,417.46201,1
4,3,7,0.83768922,2.5090001,-4.59513,3,398.483,1
9,8,11,0.92800003,-1.279,-0.75134999,2,414.41498,1
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,1
4,3,7,0.83768922,3.5280001,-6.0265298,3,404.53101,1
4,3,8,0.84722781,2.78,-4.5829101,2,364.466,1
7,6,10,0.86872083,0.384,-2.2358,2,377.397,1
7,6,13,0.82176769,2.823,-4.2669401,3,481.54898,1
4,3,7,0.83018678,3.2590001,-5.0546298,3,412.50998,1
4,3,7,0.85684919,1.789,-3.3975101,2,350.439,1
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,1
7,6,12,0.82783884,2.381,-4.0651698,3,467.522,1
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,1
6,5,8,0.81876028,2.651,-2.91802,2,376.453,1
4,3,7,0.84722781,2.6960001,-4.5829101,2,364.466,1
4,3,5,0.87918264,1.454,-3.3506999,2,322.38501,1
6,5,8,0.83503067,1.767,-2.20103,2,348.39899,1
4,3,10,0.83042318,2.8099999,-4.7944298,2,386.47198,1
6,5,8,0.8443889,1.325,-1.9992599,2,334.37198,1
6,5,8,0.85473448,0.88300002,-1.79749,2,320.345,1
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,1
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,1
6,5,9,0.81256402,2.9489999,-3.7258601,3,410.47,1
4,3,3,0.88588953,-0.68199998,-0.22391,1,186.211,1
5,3,11,0.79504395,3.5539999,-4.4654002,3,438.52399,1
6,5,7,0.83503067,2.2320001,-3.18466,2,348.39899,1
6,6,7,0.834405,2.5539999,-3.7445099,4,421.453,1
7,6,13,0.84194446,2.552,-3.46157,2,463.53098,1
6,5,8,0.83503067,2.316,-3.18466,2,348.39899,1
5,3,10,0.81192434,2.921,-3.9242001,2,376.453,1
5,4,9,0.81532049,3.1589999,-4.4840498,4,449.50699,1
6,5,7,0.82653117,2.3529999,-3.4546101,3,382.41599,1
6,5,7,0.8443889,1.874,-2.66944,2,334.37198,1
6,5,8,0.87796628,1.473,-2.8188901,2,366.43799,1
6,5,9,0.84805858,2.819,-4.3850198,3,428.509,1
6,5,8,0.85613614,2.6849999,-4.44098,3,414.48199,1
6,5,10,0.84058529,2.9070001,-4.4464898,3,442.53598,1
7,6,14,0.83472413,3.1300001,-4.2478399,3,497.54797,1
6,4,16,0.81820768,3.7349999,-4.98738,3,525.60199,1
7,6,9,0.84954685,0.88700002,-1.92191,2,363.414,1
5,3,8,0.81931269,2.4960001,-3.5969901,2,362.42599,1
7,5,9,0.83488429,2.1830001,-3.53578,3,412.44199,1
6,4,11,0.82561499,1.492,-2.6614499,2,391.46799,1
3,3,2,0.82603145,2.9890001,-4.2645602,2,321.44101,1
